29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
La Distribuidora,"18,9%",15/10/2025,Factura A,6594,"$974.129,66","$184.110,51","$790.019,15",  15 ,30/10/2025,19/11/2025,"$974.129,66","$0,00",PAGADO,Posnet Proveedor,,CMV
Transporte Rosario Logística,"21,0%",21/10/2025,Factura A,172018,"$66.072,05","$13.875,13","$52.196,92",  30 ,20/11/2025,26/11/2025,"$66.072,05","$0,00",PAGADO,Mercado Pago,,Logistica
Minga (Lecreba SA),"21,0%",21/10/2025,Factura A,50009,"$688.000,00","$144.480,00","$543.520,00",  20 ,10/11/2025,22/10/2025,"$543.520,00","$144.480,00",PAGO PARCIAL,Efectivo ADM,,CMV
Némesis (Grit Beerlab SRL),"21,0%",14/10/2025,Remito,12367,"$198.000,00","$0,00","$198.000,00",  20 ,3/11/2025,,,"$198.000,00",VENCIDO,,,CMV
La Distribuidora,"18,9%",16/10/2025,Factura A,6608,"$65.949,00","$12.464,36","$53.484,64",  15 ,31/10/2025,26/11/2025,"$65.949,00","$0,00",PAGADO,Posnet Proveedor,"50299,22 el 26/11",CMV
CCU,"21,0%",16/10/2025,Factura A,990019,"$544.947,97","$114.439,07","$430.508,90",  -   ,16/10/2025,,,"$544.947,97",VENCIDO,,,CMV
Masa Mia,,11/10/2025,Remito,3904,"$81.000,00","$0,00","$81.000,00",  -   ,11/10/2025,11/10/2025,"$81.000,00","$0,00",PAGADO,,,CMV
Masa Mia,,16/10/2025,Remito,3906,"$135.000,00","$0,00","$135.000,00",  -   ,16/10/2025,16/10/2025,"$135.000,00","$0,00",PAGADO,,,CMV
Masa Mia,,22/10/2025,Remito,3907,"$135.000,00","$0,00","$135.000,00",  -   ,22/10/2025,22/10/2025,"$135.000,00","$0,00",PAGADO,,,CMV
Masa Mia,,15/10/2025,Remito,3905,"$135.000,00","$0,00","$135.000,00",  -   ,15/10/2025,15/10&2025,"$135.000,00","$0,00",PAGADO,,,CMV
La Distribuidora,"18,9%",24/10/2025,Factura A,6732,"$141.481,16","$26.739,94","$114.741,22",  15 ,8/11/2025,26/11/2025,"$141.481,16","$0,00",PAGADO,Posnet Proveedor,,CMV
Distribuidora ALCORTA,"21,0%",24/10/2025,Factura A,22551,"$70.551,16","$14.815,74","$55.735,42",  -   ,24/10/2025,,,"$70.551,16",VENCIDO,,,CMV
La Distribuidora,"18,9%",23/10/2025,Factura A,6726,"$177.296,73","$33.509,08","$143.787,65",  15 ,7/11/2025,26/11/2025,"$177.296,73","$0,00",PAGADO,Posnet Proveedor,,CMV
CCU,"21,0%",23/10/2025,Factura A,994805,"$1.390.439,19","$291.992,23","$1.098.446,96",  -   ,23/10/2025,,,"$1.390.439,19",VENCIDO,,,CMV
Vines & Co.,"21,0%",23/10/2025,Factura A,22685,"$1.213.013,35","$254.732,80","$958.280,55",  21 ,13/11/2025,3/11/2025,"$1.213.013,35","$0,00",PAGADO,Posnet Proveedor,,CMV
Over Clean,,23/10/2025,Remito,45559,"$251.550,73","$0,00","$251.550,73",  7 ,30/10/2025,28/10/2025,"$251.550,73","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Over Clean,,23/10/2025,Remito,45574,"$152.553,89","$0,00","$152.553,89",  7 ,30/10/2025,28/10/2025,"$152.553,89","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Hillbillys,"21,0%",27/10/2025,Remito,9647,"$165.550,00","$0,00","$165.550,00",  20 ,16/11/2025,16/11/2025,"$165.550,00","$0,00",PAGADO,Transferencia,,CMV
Gastos Varios - Stock Mercadería Local,,27/10/2025,Ticket CF,,"$16.200,00","$0,00","$16.200,00",  -   ,27/10/2025,27/10/2025,"$16.200,00","$0,00",PAGADO,Efectivo Local,VERDULERIA,CMV
Gastos Varios - Stock Mercadería Local,,27/10/2025,Ticket CF,5059,"$9.400,00","$0,00","$9.400,00",  -   ,27/10/2025,27/10/22025,"$9.400,00","$0,00",PAGADO,Efectivo Local,CARNE,CMV
Gastos Varios - Stock Mercadería Local,,28/10/2025,Sin comprobante,,"$16.400,00","$0,00","$16.400,00",  -   ,28/10/2025,28/10/2025,"$16.400,00","$0,00",PAGADO,Efectivo Local,VERDULERIA,CMV
Gastos Varios - Stock Mercadería Local,,28/10/2025,Ticket CF,5132,"$15.755,00","$0,00","$15.755,00",  -   ,28/10/2025,28/10/2025,"$15.755,00","$0,00",PAGADO,Efectivo Local,CARNE,CMV
Némesis (Grit Beerlab SRL),"21,0%",28/10/2025,Remito,12451,"$236.500,00","$0,00","$236.500,00",  20 ,17/11/2025,,,"$236.500,00",VENCIDO,,,CMV
Tato Growler (Pintas),"21,0%",29/10/2025,Sin comprobante,,"$200.000,00","$0,00","$200.000,00",  -   ,29/10/2025,29/10/2025,"$200.000,00","$0,00",PAGADO,Transferencia,,"Limpieza, Descartables y Bazar"
Minga (Lecreba SA),"21,0%",15/10/2025,Remito,49925,"$464.000,00","$0,00","$464.000,00",  20 ,4/11/2025,30/10/2025,"$464.000,00","$0,00",PAGADO,Efectivo ADM,,CMV
Noblex,"21,0%",30/10/2025,Remito,,"$135.836,28","$0,00","$135.836,28",  30 ,29/11/2025,23/12/2025,"$135.836,28","$0,00",PAGADO,Efectivo ADM,"105037,88 el 23/12","Limpieza, Descartables y Bazar"
CCU,"21,0%",29/10/2025,Factura A,999116,"$1.087.181,02","$228.308,01","$858.873,01",  -   ,29/10/2025,30/10/2025,"$1.087.181,02","$0,00",PAGADO,Transferencia,,CMV
CCU,"21,0%",29/10/2025,Factura A,999115,"$19.960,14","$4.191,63","$15.768,51",  -   ,29/10/2025,30/10/2025,"$19.960,14","$0,00",PAGADO,Transferencia,,CMV
Vines & Co.,"21,0%",29/10/2025,Factura A,22757,"$555.256,51","$116.603,87","$438.652,64",  21 ,19/11/2025,25/11/2025,"$555.256,51","$0,00",PAGADO,Posnet Proveedor,270925 el 25/11,CMV
Vines & Co.,"21,0%",30/10/2025,Factura A,22766,"$76.052,43","$15.971,01","$60.081,42",  21 ,20/11/2025,25/11/2025,"$76.052,43","$0,00",PAGADO,Posnet Proveedor,,CMV
Over Clean,,29/10/2025,Remito,45708,"$17.986,46","$0,00","$17.986,46",  7 ,5/11/2025,27/11/2025,"$17.986,46","$0,00",PAGADO,Mercado Pago,,"Limpieza, Descartables y Bazar"
Transporte Rosario Logística,"21,0%",29/10/2025,Factura A,172383,"$33.039,05","$6.938,20","$26.100,85",  30 ,28/11/2025,26/11/2025,"$33.039,05","$0,00",PAGADO,Mercado Pago,,Logistica
Átomos Brewing (BBSC),"21,0%",29/10/2025,Remito,2888,"$384.000,00","$0,00","$384.000,00",  20 ,18/11/2025,13/11/2025,"$384.000,00","$0,00",PAGADO,Transferencia,,CMV
Transporte Rosario Logística,"21,0%",29/10/2025,Factura A,172390,"$20.213,03","$4.244,74","$15.968,29",  30 ,28/11/2025,26/11/2025,"$20.213,03","$0,00",PAGADO,Mercado Pago,,Logistica
Minga (Lecreba SA),"21,0%",29/10/2025,Remito,50153,"$34.400,00","$0,00","$34.400,00",  20 ,18/11/2025,18/11/2025,"$34.400,00","$0,00",PAGADO,,,CMV
Masa Mia,,30/10/2025,Remito,3909,"$152.000,00","$0,00","$152.000,00",  -   ,30/10/2025,30/10/2025,"$152.000,00","$0,00",PAGADO,Efectivo Local,80 PIZZAS,CMV
Gastos Varios - Stock Mercadería Local,,30/10/2025,Sin comprobante,,"$9.000,00","$0,00","$9.000,00",  -   ,30/10/2025,30/10/2025,"$9.000,00","$0,00",PAGADO,Efectivo Local,VERDULERIA,CMV
Gastos Varios - Otros,,30/10/2025,Ticket CF,5256,"$53.000,00","$0,00","$53.000,00",  -   ,30/10/2025,30/10/2025,"$53.000,00","$0,00",PAGADO,Efectivo Local,COMIDA PERSONAL JUEVES Y VIERNES,Gastos Varios
La Distribuidora,"18,9%",31/10/2025,Factura A,6832,"$285.733,98","$54.003,72","$231.730,26",  15 ,15/11/2025,3/12/2025,"$285.733,98","$0,00",PAGADO,Posnet Proveedor,"46811,09 el 3/12",CMV
Nueve Seis Nueve,,1/11/2025,Remito,66888,"$48.449,97","$0,00","$48.449,97",  -   ,1/11/2025,11/12/2025,"$48.449,97","$0,00",PAGADO,Efectivo Local,,CMV
Gastos Varios - Otros,,1/11/2025,Ticket CF,1111,"$19.800,00","$0,00","$19.800,00",  -   ,1/11/2025,1/11/2025,"$19.800,00","$0,00",PAGADO,Efectivo Local,,Gastos Varios
Gastos Varios - Otros,,1/11/2025,Ticket CF,15762,"$10.000,00","$0,00","$10.000,00",  -   ,1/11/2025,1/11/2025,"$10.000,00","$0,00",PAGADO,Efectivo Local,,Gastos Varios
Gastos Varios - Otros,,1/11/2025,Ticket CF,5413,"$21.700,00","$0,00","$10.000,00",  -   ,1/11/2025,1/11/2025,"$21.700,00","$0,00",PAGADO,Efectivo Local,,Gastos Varios
